MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,Device_Name,Attack,Attack_subType,label
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913424.20383,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,Philips_B120N10_Baby_Monitor,gafgyt,udp,0
6382.43761125905,430.937836588171,45635.8206278392,6382.43761125905,430.937836588171,45635.8206278392,4792.9515654479,553.916715847821,6.41369120908075,553.916715847821,41.1354349254398,0.0,0.0,4792.9515654479,0.0135978905962965,15959118.2047328,1.0,554.0,0.0,554.0,0.0,0.0,0.0,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai,udp,0
2252.70594639715,60.0145544170576,0.565323239094141,2252.70594639715,60.0145544170576,0.565323239094141,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507653456.30062,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,Philips_B120N10_Baby_Monitor,mirai,scan,0
6350.7689582534,387.225385073128,58495.308069618,6350.7689582534,387.225385073128,58495.308069618,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507658011.61023,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,Philips_B120N10_Baby_Monitor,mirai,ack,0
6185.43943154849,429.206898555452,46069.9435887971,6185.43943154849,429.206898555452,46069.9435887971,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1507656051.47441,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai,udp,0
3555.01225362353,70.5282404846496,36.9343845677204,3555.01225362353,70.5282404846496,36.9343845677204,2661.35243642591,73.9971638603978,0.199243345509846,73.9971638603978,0.0396979107299558,0.0,0.0,2661.35243642591,256880.547068591,387221777954057.0,1.0,74.0,0.0,74.0,0.0,0.0,0.0,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai,syn,0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913441.49062,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt,udp,0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913444.08631,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,Samsung_SNH_1011_N_Webcam,gafgyt,udp,0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,1505913464.17603,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt,udp,0
3523.05280697357,354.072166402912,58772.5138249888,3523.05280697357,354.072166402912,58772.5138249888,2097.29100534519,553.912722733644,6.56561895465357,553.912722733644,43.1073522577062,0.0,0.0,2097.29100534519,0.0069200638807818,3.27226253232,1.0,554.0,0.0,554.0,0.0,0.0,0.0,Provision_PT_737E_Security_Camera,mirai,udp,0
